word,index
kemira,750
posit,751
metal,752
coat,753
finnlin,754
5054,755
4735,756
chang,757
structur,758
optim,759
effici,760
julia,761
prohaska,762
commun,763
physic,764
infrastructur,765
knowhow,766
scienc,767
sunris,768
valley,769
andriu,770
bagdona,771
broadband,772
data,773
tlt1v,774
saw,775
jump,776
eur2,777
eur995,778
000,779
aktia,780
175,781
82,782
_land,783
48,784
64,785
444,786
373,787
vaahto,788
418,789
account,790
112,791
food,792
laennen,793
tehtaat,794
3491,795
3096,796
individu,797
promot,798
higherthanexpect,799
mani,800
genesi,801
respect,802
eur8,803
circul,804
70,805
308,806
1015,807
annual,808
swedish,809
experienc,810
howev,811
favour,812
trend,813
cash,814
flow,815
activ,816
eur121m,817
eur97m,818
lithuania,819
190000,820
70000,821
fourth,822
10507,823
10270,824
598,825
12444,826
kalmar,827
espana,828
113,829
148,830
x20ac,831
402,832
585u,833
401,834
eur655m,835
eur438m,836
255,837
eur59,838
charger,839
deliv,840
41,841
659,842
piec,843
936,844
932,845
note,846
declin,847
though,848
mobil,849
yearago,850
1451,851
83,852
34,853
117,854
5mn,855
28,856
245,857
230,858
ramir,859
quarterend,860
1287,861
163,862
33percent,863
1246,864
thesecond,865
580,866
743,867
569,868
ruukki,869
aker,870
norway,871
suction,872
anchor,873
kalajoki,874
show,875
eur647m,876
ceo,877
sakari,878
tamminen,879
magazin,880
gdp,881
overal,882
weekli,883
basi,884
40000,885
50000,886
1586,887
414,888
cent,889
2803,890
end,891
2691,892
ago,893
best,894
major,895
breweri,896
domest,897
25688,898
litr,899
24592,900
transact,901
tecnomen,902
workfors,903
add,904
269,905
1058,906
834,907
rental,908
latvian,909
prioriti,910
balanc,911
sheet,912
hannu,913
krook,914
yit,915
build,916
geograph,917
21,918
octob,919
fish,920
tackl,921
rapala,922
vmc,923
rap1v,924
eur18,925
nine,926
eur15,927
bim,928
inform,929
softwar,930
tekla,931
modelbas,932
adopt,933
project,934
abu,935
dhabi,936
metso,937
miner,938
gone,939
19,940
aldata,941
gold,942
french,943
213,944
61,945
470,946
66,947
forest,948
machineri,949
ponss,950
513,951
375,952
kci,953
konecran,954
35,955
okmet,956
silicon,957
wafer,958
semiconductor,959
sensor,960
norwegian,961
solar,962
norsun,963
mono,964
crystal,965
pharmaceut,966
orion,967
190mn,968
180mn,969
babcock,970
distribut,971
harvest,972
head,973
south,974
african,975
sappi,976
foreign,977
graphic,978
deputi,979
md,980
pekka,981
silvennoinen,982
aim,983
next,984
hkscan,985
jaervisuomen,986
portti,987
80mn,988
100mn,989
advertis,990
04,991
takeov,992
signific,993
previous,994
lemminkaeinen,995
396,996
42,997
time,998
h1,999
ls,1000
79000,1001
aviat,1002
mainten,1003
kansa,1004
usd,1005
26,1006
besid,1007
meat,1008
variou,1009
sausag,1010
tast,1011
grill,1012
shish,1013
kebab,1014
segment,1015
paavel,1016
12month,1017
eur28,1018
eur177,1019
eur21,1020
eur196,1021
eur4,1022
eur26,1023
266,1024
sixmonth,1025
eur143,1026
eur127,1027
eur7,1028
eur655,1029
eur131,1030
eur16,1031
0,1032
eur139m,1033
eur17,1034
eur1149,1035
eur29,1036
approxim,1037
854mn,1038
730mn,1039
digia,1040
januaryjun,1041
eur67,1042
dilut,1043
029,1044
005,1045
052,1046
versu,1047
009,1048
105,1049
064,1050
368,1051
050,1052
ebit,1053
51,1054
editor,1055
2182,1056
ansa,1057
may,1058
29,1059
00,1060
01,1061
eur14,1062
030,1063
017,1064
equiti,1065
ratio,1066
609,1067
542,1068
frozen,1069
110,1070
eur928,1071
q1,1072
textil,1073
marimekko,1074
mmo1v,1075
finlandbas,1076
se,1077
privat,1078
held,1079
deal,1080
equip,1081
andrew,1082
cutleri,1083
hand,1084
tool,1085
abp,1086
fisa,1087
241,1088
336,1089
179,1090
stockmann,1091
398,1092
568,1093
374,1094
534,1095
lift,1096
712,1097
1111,1098
half,1099
571,1100
891,1101
messag,1102
tem1v,1103
receiv,1104
expans,1105
converg,1106
charg,1107
latin,1108
outotec,1109
504,1110
725,1111
201,1112
289,1113
261,1114
359,1115
53,1116
73,1117
accessori,1118
belttongroup,1119
privaci,1120
stonesoft,1121
preliminari,1122
stoneg,1123
59,1124
okm1v,1125
august,1126
eur5,1127
done,1128
46,1129
underli,1130
follow,1131
relacom,1132
presenc,1133
serv,1134
fix,1135
instal,1136
eur41m,1137
eur30m,1138
wholesal,1139
6594,1140
108,1141
seen,1142
grown,1143
eur598,1144
eur582,1145
apriljun,1146
eloholma,1147
raguti,1148
control,1149
54percent,1150
1044,1151
1109percent,1152
svyturysuteno,1153
beverag,1154
bbh,1155
post,1156
47percent,1157
januarymay,1158
4622,1159
contempu,1160
nok,1161
693,1162
approx,1163
addit,1164
kone,1165
twoyear,1166
escal,1167
alon,1168
203,1169
1992,1170
interest,1171
1124,1172
91,1173
review,1174
338,1175
eur33m,1176
1595,1177
currenc,1178
eur159,1179
132,1180
indian,1181
widen,1182
4851,1183
4831,1184
160,1185
zloti,1186
mln42,1187
agro,1188
grain,1189
agricultur,1190
wareh,1191
81,1192
onetenth,1193
preced,1194
import,1195
vvauto,1196
adp,1197
feb,1198
ixono,1199
xns1v,1200
affecto,1201
afe1v,1202
85,1203
11m,1204
192,1205
246,1206
nov,1207
vaisala,1208
vaia,1209
231,1210
oct,1211
kcr1v,1212
1166,1213
1491,1214
736,1215
15500,1216
procur,1217
honkajoki,1218
findest,1219
protein,1220
anim,1221
fat,1222
biodiesel,1223
200000,1224
bcd,1225
porvoo,1226
refineri,1227
314,1228
300,1229
1522,1230
1010,1231
393,1232
327,1233
veget,1234
106,1235
101,1236
multimedia,1237
57,1238
6964,1239
6003,1240
kauppalehti,1241
marketplac,1242
221,1243
199,1244
1034,1245
232,1246
267,1247
149,1248
278,1249
47,1250
92,1251
eur21m,1252
eur106,1253
377,1254
372,1255
55,1256
07,1257
75,1258
1397,1259
1138,1260
intak,1261
576,1262
julyseptemb,1263
eur732m,1264
pharma,1265
425,1266
84,1267
passengerrel,1268
4608,1269
4385,1270
press,1271
bridg,1272
kyronsalmi,1273
strait,1274
savonlinna,1275
06,1276
1019,1277
1007,1278
178,1279
3974,1280
1647,1281
guid,1282
394,1283
339,1284
98,1285
60,1286
467,1287
43,1288
432mn,1289
devic,1290
1401,1291
1318,1292
satama,1293
275000,1294
395000,1295
270000,1296
388000,1297
section,1298
region,1299
finnair,1300
asian,1301
kilomet,1302
10199,1303
scope,1304
least,1305
one,1306
fifth,1307
298,1308
full,1309
195,1310
510,1311
pmax,1312
tanker,1313
65200,1314
dwt,1315
03,1316
outlook,1317
56,1318
25349,1319
24551,1320
govern,1321
chemic,1322
fertil,1323
6556,1324
890u,1325
send,1326
firm,1327
187,1328
german,1329
code,1330
anoth,1331
oneworld,1332
american,1333
airlin,1334
inc,1335
usbas,1336
amr,1337
nyse,1338
helsinkibas,1339
salomon,1340
atom,1341
suunto,1342
brand,1343
61u,1344
408,1345
regist,1346
bring,1347
twoday,1348
gbx12,1349
tuesday,1350
threeday,1351
gbx10,1352
eastern,1353
recoveri,1354
china,1355
represent,1356
extend,1357
comptel,1358
250,1359
80,1360
worldwid,1361
tietoen,1362
intellisync,1363
suit,1364
wireless,1365
email,1366
calendar,1367
capabl,1368
276,1369
eur61m,1370
vacon,1371
371,1372
219,1373
drive,1374
ruselprom,1375
power,1376
200,1377
kw,1378
exist,1379
cybercom,1380
cto,1381
esko,1382
myllyla,1383
via,1384
satlan,1385
partner,1386
cabl,1387
broadcast,1388
iptv,1389
central,1390
extens,1391
engin,1392
produc,1393
european,1394
strongli,1395
firstquart,1396
sinc,1397
of2008,1398
magnu,1399
rosen,1400
good,1401
presid,1402
heikki,1403
allonen,1404
rel,1405
overlap,1406
20112015,1407
larox,1408
filter,1409
nickel,1410
mine,1411
sotkamo,1412
103,1413
527,1414
156,1415
257,1416
128,1417
object,1418
011,1419
003,1420
elisa,1421
mainli,1422
socal,1423
036,1424
033,1425
ahead,1426
004,1427
002,1428
191,1429
panostaja,1430
86,1431
fiscal,1432
200506,1433
37,1434
200405,1435
1458,1436
1384,1437
geosentr,1438
geosolut,1439
gypsii,1440
lifestyl,1441
geomobl,1442
social,1443
nanj,1444
mynet,1445
make,1446
outokumpu,1447
mongolia,1448
erdenet,1449
hydrocopp,1450
built,1451
site,1452
proport,1453
stand,1454
stone,1455
2131,1456
1726,1457
9708,1458
9068,1459
eur64,1460
realiz,1461
200809,1462
effect,1463
432,1464
683,1465
622,1466
lita,1467
ac,1468
vac1v,1469
set,1470
romania,1471
southeastern,1472
fullyear,1473
affect,1474
nevertheless,1475
4914,1476
postel,1477
distributor,1478
longstand,1479
stronger,1480
octoberdecemb,1481
302,1482
253,1483
olvi,1484
le,1485
coq,1486
1504,1487
204,1488
1249,1489
soft,1490
drink,1491
water,1492
cider,1493
long,1494
energi,1495
49,1496
markedli,1497
825mn,1498
763mn,1499
830,1500
recycl,1501
087,1502
employ,1503
percentag,1504
196,1505
euro742,1506
euro735,1507
quarteronquart,1508
veidekk,1509
entreprenor,1510
39,1511
packag,1512
197mn,1513
strongest,1514
czech,1515
republ,1516
slovakia,1517
airbu,1518
a350900,1519
aircraft,1520
latest,1521
variant,1522
rollsroyc,1523
trent,1524
call,1525
1700,1526
intensifi,1527
smelter,1528
230000,1529
copper,1530
schedul,1531
nearli,1532
flight,1533
poland,1534
autotank,1535
comment,1536
gustav,1537
nyberg,1538
025,1539
020,1540
occup,1541
912,1542
888,1543
bssoss,1544
va,1545
telecom,1546
tecnotre,1547
worth,1548
without,1549
specifi,1550
3378,1551
start,1552
state,1553
27,1554
eur36m,1555
eur27m,1556
1155000,1557
1132000,1558
telemig,1559
celular,1560
begin,1561
prepaid,1562
eur17m,1563
xerox,1564
tailor,1565
igen3,1566
shortrun,1567
ondemand,1568
town,1569
riihimaeki,1570
leas,1571
occupi,1572
travel,1573
upgrad,1574
intend,1575
450,1576
mhz,1577
630,1578
sever,1579
citi,1580
bidirect,1581
televis,1582
notic,1583
skandinaviska,1584
enskilda,1585
banken,1586
ab,1587
publ,1588
11958000,1589
ilkkayhtyma,1590
kaleva,1591
kustannu,1592
condit,1593
fulfil,1594
enter,1595
aggreg,1596
6m,1597
autom,1598
larger,1599
pipett,1600
efor,1601
reijo,1602
maihaniemi,1603
chines,1604
sector,1605
zte,1606
000063,1607
co,1608
tlv1v,1609
pick,1610
bofa,1611
merril,1612
lynch,1613
jpmorgan,1614
jpm,1615
joint,1616
bookrunn,1617
convert,1618
eur250m,1619
usd332m,1620
turn,1621
60000,1622
twofold,1623
zahariev,1624
sto,1625
nda,1626
pohjola,1627
poh1,1628
sampo,1629
sama,1630
svenska,1631
handelsbanken,1632
shb,1633
could,1634
2013,1635
scandic,1636
feed,1637
diversifi,1638
tosno,1639
separ,1640
austrian,1641
e,1642
ag,1643
week,1644
germani,1645
austria,1646
hungari,1647
jm,1648
recent,1649
residenti,1650
eur12,1651
headquart,1652
meteorolog,1653
environment,1654
mall,1655
pearl,1656
cjsc,1657
shanghai,1658
home,1659
35000,1660
peopl,1661
known,1662
pulkovo,1663
introduc,1664
concept,1665
creat,1666
commerciallyfund,1667
knowledgeintens,1668
therebi,1669
mostli,1670
appar,1671
observ,1672
perttu,1673
puro,1674
tradeka,1675
fund,1676
wartsila,1677
decid,1678
cathod,1679
complet,1680
name,1681
sharehold,1682
otto,1683
henrik,1684
bernhard,1685
transfer,1686
collect,1687
calcul,1688
rvr,1689
interfac,1690
tinyurl,1691
link,1692
take,1693
scam,1694
promis,1695
thousand,1696
googl,1697
nasdaq,1698
goog,1699
alexandria,1700
pertti,1701
salmi,1702
hanna,1703
vuolteenaho,1704
oulu,1705
sami,1706
viitasaari,1707
ii,1708
ornament,1709
patent,1710
trademark,1711
markka,1712
oksanen,1713
harald,1714
kaaja,1715
juha,1716
salokannel,1717
kangasala,1718
arto,1719
palin,1720
viiala,1721
vsevolozhsk,1722
leningrad,1723
mline,1724
famili,1725
ml,1726
capman,1727
altern,1728
asset,1729
helsinkifocus,1730
vehicl,1731
bought,1732
sevenstori,1733
1973,1734
underw,1735
refurbish,1736
1990,1737
367,1738
515,1739
09,1740
949,1741
later,1742
20112012,1743
kazakhstan,1744
ordabasi,1745
astana,1746
chairman,1747
dinmukhamet,1748
idrisov,1749
confer,1750
affectogenimap,1751
intellibi,1752
158,1753
debtfre,1754
heatretain,1755
fireplac,1756
tulikivi,1757
local,1758
tile,1759
stove,1760
util,1761
ceram,1762
kermansavi,1763
merg,1764
mean,1765
absorpt,1766
streamlin,1767
refin,1768
furthermor,1769
bung,1770
licens,1771
sunnuntai,1772
carlshamn,1773
mejeri,1774
commerzbank,1775
hamburg,1776
jp,1777
morgan,1778
particip,1779
arrang,1780
dutch,1781
ing,1782
am,1783
inga,1784
coarrang,1785
parent,1786
fortum,1787
becam,1788
raisio,1789
stretch,1790
way,1791
vladivostok,1792
buy,1793
danish,1794
poultri,1795
eur23,1796
right,1797
grant,1798
harbor,1799
chief,1800
execut,1801
lundmark,1802
told,1803
deutschland,1804
90,1805
outsid,1806
has80,1807
19062007,1808
1400,1809
telko,1810
strateg,1811
bp,1812
lubric,1813
il,1814
moluballoy,1815
milan,1816
italian,1817
305,1818
agenc,1819
pop,1820
imap,1821
gradual,1822
170000,1823
215000,1824
jydsk,1825
materiel,1826
udlejn,1827
locat,1828
west,1829
jutland,1830
repurchas,1831
11012008,1832
behalf,1833
solidium,1834
tikkurila,1835
takoma,1836
moventa,1837
parkano,1838
run,1839
factori,1840
southern,1841
switch,1842
whilst,1843
owner,1844
sun,1845
hung,1846
kai,1847
hong,1848
kong,1849
type,1850
premium,1851
final,1852
negoti,1853
letter,1854
intent,1855
seal,1856
actual,1857
ky,1858
window,1859
fenestra,1860
forssa,1861
commit,1862
apollo,1863
five,1864
train,1865
startup,1866
eur11m,1867
uranium,1868
nickelzinc,1869
benefon,1870
navig,1871
omxn40,1872
compris,1873
043,1874
113884,1875
129,1876
108447,1877
rd,1878
turnkey,1879
fortuna,1880
303,1881
stakehold,1882
everyth,1883
term,1884
offtak,1885
cameco,1886
upfront,1887
cost,1888
extract,1889
oxygen,1890
sick,1891
maihak,1892
gmbh,1893
beij,1894
xfnasia,1895
konglist,1896
small,1897
medium,1898
enterpris,1899
lr,1900
summari,1901
medic,1902
pipelin,1903
talk,1904
involv,1905
whether,1906
relianc,1907
upcom,1908
jamnagar,1909
lidsko,1910
pivo,1911
forese,1912
integr,1913
modern,1914
logist,1915
instrument,1916
mikshi,1917
residentialconstruct,1918
particular,1919
djsi,1920
stoxx,1921
goal,1922
chosen,1923
8543250,1924
ahlstrom,1925
latvija,1926
finieri,1927
green,1928
veneer,1929
mill,1930
ukmerg,1931
hous,1932
onefamili,1933
3065,1934
3112,1935
vote,1936
aspect,1937
defin,1938
microsoft,1939
detail,1940
date,1941
kahonen,1942
juuka,1943
fire,1944
pit,1945
door,1946
kenneth,1947
bower,1948
vista,1949
calif,1950
elev,1951
output,1952
262000,1953
yronyr,1954
rs310,1955
crore,1956
space,1957
hospit,1958
nurseri,1959
laboratori,1960
switchboard,1961
directori,1962
significantli,1963
uptod,1964
contact,1965
colleagu,1966
directli,1967
cargotec,1968
64046460,1969
64299180,1970
283,1971
05,1972
turkish,1973
dokta,1974
dokumculuk,1975
ticaret,1976
sanayi,1977
926,1978
056,1979
038,1980
130,1981
raivv,1982
wrap,1983
margarin,1984
player,1985
bg,1986
eur80m,1987
usd119,1988
manipul,1989
knight,1990
monday,1991
walki,1992
wisa,1993
companyeur,1994
tm,1995
romanian,1996
lei,1997
198,1998
mln1,1999
mmh,2000
morri,2001
909,2002
differ,2003
experi,2004
address,2005
jacob,2006
storengi,2007
storag,2008
adpnew,2009
jun,2010
out1v,2011
threeyear,2012
900,2013
revolv,2014
silva,2015
garden,2016
boat,2017
mr,2018
ashley,2019
sport,2020
direct,2021
43pc,2022
pound,2023
900m,2024
float,2025
challeng,2026
format,2027
plug,2028
halt,2029
88,2030
krakeroy,2031
bascul,2032
pile,2033
foundat,2034
establish,2035
1862,2036
1989,2037
sysopen,2038
sentera,2039
7739,2040
suomen,2041
helasto,2042
lukkoexpert,2043
kimmo,2044
uusimaki,2045
broadbas,2046
wig,2047
session,2048
6500334,2049
pt,2050
bluechip,2051
wig20,2052
368715,2053
640,2054
600,2055
7755,2056
6000,2057
onward,2058
spend,2059
proce,2060
surfacetreat,2061
eur422,2062
754,2063
30000,2064
186074,2065
101294550,2066
decis,2067
lenenergo,2068
grid,2069
contain,2070
namibia,2071
walvi,2072
bay,2073
coast,2074
floor,2075
consist,2076
function,2077
repay,2078
debentur,2079
bond,2080
relat,2081
irrevoc,2082
holder,2083
subordin,2084
36780,2085
27060,2086
gorelovo,2087
22000,2088
sq,2089
70mn,2090
tielinja,2091
96,2092
powder,2093
paint,2094
usd3,2095
district,2096
judg,2097
dougla,2098
p,2099
woodlock,2100
jan,2101
temporari,2102
restrain,2103
uk,2104
sarantel,2105
outsourc,2106
london,2107
british,2108
miniatur,2109
antenna,2110
assembl,2111
estonian,2112
gogol,2113
street,2114
underground,2115
tunnel,2116
cross,2117
implement,2118
launch,2119
winner,2120
2g,2121
tgk10,2122
76,2123
vnh,2124
ford,2125
struggl,2126
face,2127
slow,2128
truck,2129
suv,2130
surfeit,2131
gottahav,2132
rautakesko,2133
impact,2134
1107,2135
865,2136
peer,2137
peugeot,2138
081,2139
63,2140
fall,2141
hit,2142
expenditur,2143
crisi,2144
emphasis,2145
larg,2146
size,2147
rapid,2148
tv,2149
view,2150
attract,2151
union,2152
normal,2153
spokesman,2154
usko,2155
maatta,2156
motorcyclist,2157
safeti,2158
615,2159
486,2160
back,2161
strong,2162
kalnapiliotauro,2163
grupe,2164
kalnapilistaura,2165
denmark,2166
unibrew,2167
2518,2168
2374,2169
seven,2170
145,2171
405,2172
252,2173
2391,2174
5299,2175
popular,2176
pattern,2177
1950,2178
1960,2179
1970,2180
hm,2181
staff,2182
recruit,2183
japan,2184
complement,2185
capacitor,2186
reliabl,2187
noon,2188
arm,2189
900000,2190
contribut,2191
stx,2192
friendli,2193
cruis,2194
ferri,2195
stockholm,2196
withvik,2197
clearli,2198
tower,2199
chose,2200
go,2201
summer,2202
broadsheet,2203
tabloid,2204
page,2205
abil,2206
48page,2207
side,2208
uponor,2209
1510,2210
1437,2211
record,2212
1625,2213
invoic,2214
kazgiprotsvetmet,2215
cooper,2216
metallurg,2217
surround,2218
lemcon,2219
kaluga,2220
administr,2221
1520,2222
566,2223
middl,2224
east,2225
africaand,2226
asia,2227
pacif,2228
longestablish,2229
certain,2230
document,2231
etteplan,2232
appoint,2233
kaupth,2234
coordin,2235
cencorp,2236
virkkala,2237
enhanc,2238
huhtamaki,2239
35870629000,2240
outstand,2241
105501850,2242
eur360,2243
106063320,2244
papua,2245
guinea,2246
lihir,2247
pfizer,2248
bioti,2249
pde10,2250
phosphodiesteras,2251
inhibitor,2252
sole,2253
author,2254
discov,2255
compound,2256
matur,2257
novat,2258
amer,2259
exceed,2260
onefifth,2261
prove,2262
rod,2263
baber,2264
english,2265
climber,2266
climb,2267
mount,2268
everest,2269
summit,2270
success,2271
campaign,2272
trial,2273
demonstr,2274
lte,2275
800,2276
viabl,2277
reino,2278
tammela,2279
specialti,2280
glassfib,2281
reinforc,2282
carolina,2283
ssh,2284
pleas,2285
tomi,2286
laamanen,2287
tel,2288
358,2289
400,2290
544,2291
patrizia,2292
eur3bn,2293
3009,2294
2761,2295
299,2296
consensu,2297
guineabas,2298
asx,2299
lgl,2300
bolster,2301
kallioranta,2302
cooperationand,2303
tie,2304
ourmachineri,2305
theodosopoulo,2306
tellab,2307
nortel,2308
given,2309
statu,2310
verizon,2311
along,2312
highgrowth,2313
succeed,2314
apart,2315
kari,2316
kauniskanga,2317
abl,2318
qualiti,2319
restaur,2320
christoph,2321
wynn,2322
papa,2323
john,2324
suominen,2325
specialis,2326
wet,2327
wipe,2328
